repo,before,after,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
casadi/casadi,4a5367bb6a8a266528460c43622199595bd4041c,4b6bc45f0e41e0dbc13db1033959ab8ab49f8757,-2.0,0.005366947372137831,0.00037200651011392444,0.003036562328972703,0.00018600325505696222,0.0007414861500980585,0.0,0.0008370146477563317,0.0,-0.014600550964186887,0.002304036864589798,-0.010354181198167112,-0.060201613615098015,0.0013417368430344578,0.10983078999273488,-0.020528683914511348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timescale/timescaledb,316c6a82c61e6e399c61262e019fa75fa93ef7ad,d2ada380ec09c8ec13699fbcfba0c2abd2d120c8,0.0,0.0,0.0,0.0,0.0,-0.15708812260536398,0.0,0.0,0.0,0.0,0.0,-3.724358974358978,-0.3141762452107282,0.0,0.0,-0.16025641025641058,0.0,0.0,0.0,0.0,0.0,-101.0,0.0,0.0
fontforge/fontforge,17e35844d6bfd37ed03963a9afc495263e0142ea,27d2bd812e27dc7b8b98afbee7cc88d952ff8728,-1.0,0.003083247687564239,0.0006692025922795108,0.0035457348406988665,0.000387433079740776,0.012589928057553879,0.0,0.0002817695125387418,0.0005369127516778455,-0.0007158836689038495,0.0022689276331502306,0.1074246266553942,0.008941418293936243,0.0033915724563206573,0.5507219548315447,0.00831220061989324,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0
openstreetmap/osm2pgsql,908ea564627f53deab1e54ded29bfd1ba38e3bdb,d88cc2ca5d695f09d4d20ba4ed87411c37540326,28.0,0.07996632996632996,0.009726954031501506,-0.005892255892255838,-0.01604700538191873,-0.16666666666666674,1.3282828282828283,0.07509998518737965,-0.0016016016016016012,0.0748748748748751,-0.006746784735399525,0.10586086011948836,0.03367003367003352,-0.010101010101010083,2.7738095238095255,-0.15833838077932594,2.0,0.0,-5.0,7.0,0.0,18.0,2.0,0.0
the-benchmarker/web-frameworks,57c7c19a4e3dd9540def83813f1d1e7658d0b7ca,51a399bc6e41e62f08e83d2e5d18369b884728c3,-24.0,0.08294283036551076,-0.0296069058999786,-0.09025304592314902,-0.03724049368623814,-0.019962511715089004,0.0,0.14040094171363338,-0.008928571428571428,1.8112244897959182,-0.07156862745098039,-0.9228793607762,-0.04179943767572633,-0.19756326148078723,-16.40476190476191,1.5297628521406974,0.0,0.0,0.0,-60.0,-4.0,-1.0,0.0,-67.0
ycm-core/ycmd,5a7e7e7d5168139482a5dc103003d497a8c0918f,ebbed48048dbd9f12ce8548e320e7ebafa71cd77,0.0,-0.02855631940772077,0.0,0.00687466948704385,0.028169014084507032,0.015864621893178166,-0.3125,-0.02816901408450706,0.0,0.0,0.00687466948704385,0.19718309859154814,-0.10682178741406667,0.0005288207297726097,0.0,0.08450704225352101,-1.0,0.0,0.0,0.0,-2.0,2.0,0.0,0.0
fossasia/susi_server,dadd323d917fd77f5379aade41b6f3715102e5e6,ac183876b034e7545f520e75ccff199875ce3d68,-4.0,0.012882447665056362,0.0,0.03542673107890493,0.0,0.0032206119162641045,0.0,0.012882447665056362,0.0,-0.08051529790660217,0.02898550724637683,3.2093397745571686,0.26409017713365524,0.0,0.0,-0.03864734299516903,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0
Baeldung/stackify,96175f7b167bd2f01544301f43cf2a1b3400df47,ec1f198ed2599fb98867bdd0a9595a0b3e12d2df,0.0,0.0,0.0,-0.0625,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,-0.545454545454545,-0.0625,0.0,-13.0,-0.045454545454545414,0.0,0.0,0.0,-12.0,-1.0,0.0,0.0,-13.0
mdn/kuma,f23a1a78613a158c9dfbbaf37e32fc51e4f2143a,96c7b90bb9496759fcc638e825bc34a23be3578d,26.0,-0.015480895915678528,-0.004067584480600751,0.06488801054018445,-0.004067584480600751,-0.20322793148880103,-0.29512516469038275,-0.003441802252815984,-0.008345369924570693,1.7367998716096933,0.07847857486759746,-2.6489361702127674,-0.014163372859025025,-0.03425559947299078,0.0,1.5147058823529411,0.0,0.0,0.0,0.0,0.0,13.0,2.0,0.0
paramiko/paramiko,47ba15f8c20819ee93f79cbd9e718ba93b6102bf,ea2f51adad592beab6a4e69a5efc935eadaeaa0b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
