,RepoName,CommitId,Redable,CommitMessage
22,ClusterLabs/pacemaker,38a7c5df7c01ffeb114dfd28e0418b90066930bc,1.0,Test: travis: build up a test matrix incl. no-compile item; cleanup  - drop chrpath and perl packages as dependencies completely - restructure for readability  minimize separate invocations - add no-compile (maintenance only) test item to the matrix   that runs xml/regression.sh (without any switch and with -B/-S)   once all the RNG files are generated (bypassing full-fledged   configuration); it also sanity-checks that RNG files  unchecked   so far  validate per public relaxng.rng schema themselves
23,ClusterLabs/pacemaker,b24ca8dbca0e44281c52b05009628ae588064fb6,0.0, 
28,FALCONN-LIB/FALCONN,353ab32eeee090d392b98f38384f5134aea81944,1.0,clean up Travis config
29,FALCONN-LIB/FALCONN,12d11ea117dcefb1996626e7c8374dd6e34542d9,0.0, 
38,Freescale/u-boot-fslc,e7c05b1fda999e5676289386a956dc56df03eec2,1.0,travis: Split the building into two parts  Buildman is used in two ways:  - to build a selection of boards (with no testing) - to build a single board (and run pytest)  The gitlab and azure scrips do this in separate places  but travis does not. To aid the refactoring process and keep the following patches in sync across all three environments  split the code out in travis as well.  Use the buildman -w option for the single board. It is easier to understand since it specifies the output directory directly. Also it avoids needing to look at the internal .bm-work directory.  This initially creates some duplicate code  but by the end of the series we have two completely different build paths with different arguments.  Signed-off-by: Simon Glass <sjg@chromium.org> Reviewed-by: Tom Rini <trini@konsulko.com>
39,Freescale/u-boot-fslc,f08c8ef9b7d7cf8bbdb744636f64515ac072569d,0.0, 
42,MoarVM/MoarVM,e82982e3dce677090433ba54e21877001589927f,1.0,Clean up and add some comments to .travis.yml
43,MoarVM/MoarVM,b2d0914354771fe972c3cc60e420f7d56710f316,0.0, 
56,OpenVSP/OpenVSP,9eef58c8009a1ee80968ccee7a79dc82f0692f50,1.0,Clean up redundant variables  VSP_USE_SYSTEM_XXXX Default to false  no need to pass false.  Keep cpptest=false as it seemed to cause build problems.
57,OpenVSP/OpenVSP,d1514acf887d49c7ceb02e1414f2b745bcd25e0c,0.0, 
90,astropy/astropy,53dd843d7388fdc8ccd965ccbf12a8e44e2d35f2,1.0,clean up travis.yml tab alignment
91,astropy/astropy,b1b9c80555087d5af8b57d75d176a413ed140171,0.0, 
92,astropy/astropy,3825f615bac593eab51335f7fe5a6c08a26d79a7,1.0,clean up .travis.yml
93,astropy/astropy,53dd843d7388fdc8ccd965ccbf12a8e44e2d35f2,0.0, 
98,astropy/astropy,38d4655cb6271c02ca7a92aa14302af83d8195c4,1.0,Clean up Travis configuration
99,astropy/astropy,6d33347f290846d81267df9d658290a163253e4a,0.0, 
104,axboe/fio,be90946e4efe2c6666106e376eb51562a926ddd7,1.0,travis: add 32 bit build  minor updates and cleanups  - Rejig the Travis file so it does a 32 bit Linux build (albeit on a 64   bit system). GlusterFS is only installed on 64 bit Linux because the   32 bit deb tries to pull in psmisc:i386 which conflicts with the   regular (64 bit) psmisc. The clang 32 bit build works fine but only   the gcc 32 bit build is done to reduce the number of builds for now. - Minor reformatting to make it a bit easier to read the shell script   (but behind the scenes it's still all squashed on to one line). - Stop apt from installing/upgrading non-essential packages so as to   reduce build time. - Make OSX build use a newer Xcode.
105,axboe/fio,07dff7d1d614b33e3a6d3e3ade38ce648b53a632,0.0, 
110,cetic/6lbr,42421825884b5aaa52fbe1331b23bacaaaf347ee,1.0,"Clean up script commands in .travis.yml.  Besides general whitespace and quoting cleanup  commands that test variables were changed from:   [ $B = a ] && command || true to   if [ $B = a ] ; then command ; fi This form correctly returns the exit code of ""command""."
111,cetic/6lbr,784b20c04d299ccb7a7fb9d3c90aa31dff3bf520,0.0, 
124,curl/curl,2c598cc77822b27eef5ee6c2810ed6da49ff95bf,1.0,travis: upgrade to bionic  clang-9  improve readability  Changes  partially to reduce build failures from external dependencies:  - Upgrade Ubuntu and drop unnecessary third-party repos.  - Properly clone apt config to ensure retries.  - Upgrade to clang-9 from the standard repos.  - Use Ubuntu 20.04 focal for the libssh build  use of ssh_get_publickey    fails on -Werror=deprecated-declarations in Ubuntu 18.04. Do not use    focal everywhere yet since Travis CI has not documented this option.    In focal  python-impacket (Py2.7) has been removed  leaving only    python3-impacket. Since it is only needed for SMB tests and not SSH     skip it for the libssh job since it might need more work.  - apt: Remove gcc-8 and libstdc++-8-dev  already installed via g++-8.  Non-functional cleanups:  - Simplify test matrix  drop redundant os and compiler keys.  - Deprecation fixes: remove sudo  rename matrix -> jobs.  - Every job has an 'env' key  put this key first in a list item.  Closes #5370
125,curl/curl,1753e4140b1eea1b26a9bab61cd36a645a9ba1fe,0.0, 
134,facebook/openbmc,9f94e6208b0ab7f879c6fd35b9c1430f1ed09a64,1.0,travis-ci: refactor steps to simplify travis.yml  Summary: Move any multi-line travis.yml call into separate shell scripts to clean up.  Include a small change to defer sstate fetching until we determine we are going to build a particular machine (which saves time on machines we determine do not need to be built).  Test Plan: PR to openbmc/openbmc to trigger Travis  Reviewed By: zhdaniel12  fbshipit-source-id: 4d087a70bc
135,facebook/openbmc,4682ffcbb0fe16ab21bd05a03af50125e6fab640,0.0, 
208,ivmai/bdwgc,0138d609f7722d4e2ca0226aa21e0795384b4a2e,1.0,Travis CI: Replace multiple CONF_x with a single CONF_OPTIONS variable (code refactoring)
209,ivmai/bdwgc,07d98957981a30055e98486911cecc736421467d,0.0, 
212,ivmai/bdwgc,a9690ace022c7b978ec4efd3f387267364682492,1.0,Travis CI: Put GNU S/W download base URL in a dedicated variable (code refactoring)
