Delta,Loc,AvgAssignment,AvgBlankLines,AvgColon,AvgComment,AvgDash,AvgEnvLenght,AvgEnvVariable,AvgIfStatement,AvgIndentation,AvgKeyword,AvgLineLenght,AvgNumber,AvgParenthesis,AvgScriptLenght,AvgSpace,MaxEnvLenght,MaxEnvVariable,MaxIndentation,MaxLineeLenght,MaxNumber,MaxOccurencesCharacter,MaxOccurrencesEnv,MaxScriptLenght
38a7c5df7c01ffeb114dfd28e0418b90066930bc.yml => b24ca8dbca0e44281c52b05009628ae588064fb6.yml,32,-0.005813953488372103,-0.03630792088401891,-0.02939276485788117,-0.07558733401430029,-0.7031653746770028,-2.678571428571429,0.012907419444702299,-0.0588235294117647,1.6119081779053086,-0.002742946708464006,-3.084687529018474,-0.3252583979328165,0.3417312661498709,-14.955555555555549,1.3608534322820027,0,0,4,0,0,40,10,-16
353ab32eeee090d392b98f38384f5134aea81944.yml => 12d11ea117dcefb1996626e7c8374dd6e34542d9.yml,-1,0.002114164904862506,0.0024489795918367085,0.010042283298097254,0.0,-0.035940803382663755,0.0,0.0,0.0010570824524313016,0.015856236786469413,0.0077551020408163085,-0.6538775510204093,0.013213530655391104,0.004228329809725095,-1.7156862745097996,-0.1518367346938776,0,0,0,0,0,-1,0,0
e7c05b1fda999e5676289386a956dc56df03eec2.yml => f08c8ef9b7d7cf8bbdb744636f64515ac072569d.yml,9,0.0011548463166055623,-0.0002731411229136005,-0.003976009346448484,0.0023835648418349953,-0.002713485051604625,0.0,-0.004034084276876404,0.000937532296880296,-0.020980053446723268,-0.003721347943451969,0.11794560522936592,-0.006371844362250245,0.028556199828791984,-0.38630653266331905,0.0005577482097702813,0,0,0,0,0,10,2,0
e82982e3dce677090433ba54e21877001589927f.yml => b2d0914354771fe972c3cc60e420f7d56710f316.yml,5,-0.02083333333333337,-0.0029998500074995965,0.0,0.0389980500974951,-0.10416666666666696,0.0,-0.011999400029998497,-0.015038296282458508,-0.13151503829628242,0.0,-0.47750112494374974,-0.03125,-0.06250000000000006,-2.6730158730158706,-0.40246257846450995,0,0,0,0,0,-10,0,0
9eef58c8009a1ee80968ccee7a79dc82f0692f50.yml => d1514acf887d49c7ceb02e1414f2b745bcd25e0c.yml,0,-0.06382978723404259,0.0,0.0,0.0,-0.06382978723404231,0.0,0.0,0.0,0.0,0.0,-1.7959183673469354,0.0,0.0,-5.6875,-0.06122448979591866,0,0,0,-88,0,-4,0,-91
53dd843d7388fdc8ccd965ccbf12a8e44e2d35f2.yml => b1b9c80555087d5af8b57d75d176a413ed140171.yml,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20967741935483897,0.0,0.0,0.0,0.0,0.0,0.30666666666666664,0,0,0,0,0,0,0,0
3825f615bac593eab51335f7fe5a6c08a26d79a7.yml => 53dd843d7388fdc8ccd965ccbf12a8e44e2d35f2.yml,5,-0.054730983302411884,0.0016666666666666774,0.02365491651205931,-0.028333333333333294,-0.07560296846011116,0.0,0.012499999999999956,-0.00977517106549361,0.38611925708699957,0.021720969089390196,-2.864166666666655,0.052875695732838235,-0.09276437847866426,0.0,0.2258333333333331,0,0,0,0,0,5,4,0
38d4655cb6271c02ca7a92aa14302af83d8195c4.yml => 6d33347f290846d81267df9d658290a163253e4a.yml,2,0.016393442622950893,-0.0017821782178217838,0.0,0.007821782178217801,0.0,0.0,-0.0018316831683168888,-0.00032047430196690055,-0.07835596683090973,0.0,0.21866336633663508,0.0,0.0,-0.5,0.03911252823169953,0,0,0,0,0,-1,1,0
be90946e4efe2c6666106e376eb51562a926ddd7.yml => 07dff7d1d614b33e3a6d3e3ade38ce648b53a632.yml,21,0.1277777777777777,0.0,-0.1527777777777778,-0.0764705882352941,-0.3027777777777778,0.8333333333333339,0.0843137254901961,-0.0343698854337152,2.0245499181669393,-0.17500000000000004,-3.8960784313725476,0.4527777777777777,0.2888888888888889,-67.33333333333331,1.0310965630114568,1,0,6,-9,2,12,5,-85
42421825884b5aaa52fbe1331b23bacaaaf347ee.yml => 784b20c04d299ccb7a7fb9d3c90aa31dff3bf520.yml,24,-0.22380952380952385,-0.011578947368420994,-0.19107142857142861,-0.06,-0.9059523809523808,0.0,-0.07263157894736841,0.0476190476190476,0.8701996927803384,0.002523128679562614,-11.981578947368419,-0.9880952380952377,-0.2142857142857143,-35.520833333333336,-0.635416666666667,0,0,-1,-1,-6,-2,0,-16
